RecipeID,Calories,TotalFat,Sugar,Sodium,Protein,SatuatedFat,Carbs
535321,1083.1,97,272,39,50,33,36
535320,699.1,75,45,38,44,37,14
535318,758.5,75,65,249,105,88,8
535319,555.2,33,11,62,72,25,18
535317,1639,39,210,107,107,59,95
535312,1008,90,270,21,25,183,39
535314,343,41,12,53,36,52,2
535315,1451.4,53,2,80,98,99,75
535299,341.7,35,16,91,43,54,3
535300,414.4,24,5,53,36,6,16
535288,10060.8,919,3097,116,184,1848,384
535282,171.3,14,75,4,3,27,6
535290,13029.1,889,5273,389,269,1372,616
535269,3681,294,892,1222,429,344,96
535270,1253.3,98,33,379,269,126,9
535267,475.9,54,0,25,29,111,8
535229,229.8,0,1,5,6,0,6
535233,938.7,0,807,0,0,0,67
535230,203,0,52,0,0,0,4
535190,923.7,113,254,16,10,233,21
535120,298.6,26,20,26,25,36,7
535102,293.3,13,116,7,8,24,16
535108,397,22,17,27,32,11,16
535104,184.9,9,82,7,2,19,10
535072,364.6,16,35,33,61,9,11
535021,677.1,63,32,54,40,84,21
535020,2526.8,345,35,106,43,87,37
534998,743.3,52,18,39,85,87,21
534955,602,58,162,10,15,95,23
534954,420.5,35,138,4,11,55,17
534956,597.1,63,198,3,12,127,17
534957,912.3,88,351,10,4,131,33
534953,7074.9,622,2793,129,111,1234,291
534945,517,60,5,27,71,95,1
534900,808.3,72,18,43,107,80,14
534899,455.9,45,92,30,24,87,12
534898,2236,89,58,241,151,161,116
534896,1751,177,23,87,173,329,30
534897,193.7,19,6,26,32,30,1
534877,391.5,21,34,20,19,23,19
534868,459.6,38,20,48,55,47,10
534864,100.9,5,10,32,5,3,3
534859,428.5,60,11,36,27,115,2
534855,667.3,24,39,60,95,21,27
534802,385.1,34,9,74,71,37,2
534786,689.5,40,45,127,103,40,20
534784,1011.9,71,11,63,95,102,34
534760,892.7,57,16,53,80,112,32
534722,162.6,11,5,19,6,22,6
534635,640.1,87,8,12,12,39,9
534616,470.6,47,44,19,14,95,13
534549,352.8,19,165,7,5,37,20
534552,262.9,0,248,2,1,0,22
534558,631.7,13,62,3,38,6,36
534509,647.4,52,9,19,55,106,19
534504,764.6,56,33,86,34,111,30
534414,103.9,17,0,4,0,36,0
534393,567,62,80,24,34,53,13
534356,432.9,13,138,9,14,26,27
534321,224.3,10,110,5,5,18,13
534283,308.1,34,26,30,14,64,7
534264,463,15,317,12,11,15,31
534266,2713.4,277,1005,17,54,549,85
534270,72.9,0,65,0,0,0,6
534196,165,15,7,10,15,24,3
534173,1064.8,111,13,42,59,167,24
534108,192.2,17,23,14,10,30,6
534062,348.2,6,7,61,44,9,17
534064,493.7,18,8,9,26,17,27
534029,330.5,18,150,6,6,36,17
534000,4958.7,395,1208,87,140,794,207
533995,425.1,61,4,27,23,124,2
534001,163.8,11,85,0,3,22,8
533981,209.5,21,57,1,4,27,6
533951,1946.2,141,637,63,45,283,87
533949,142.4,10,23,2,3,14,6
533950,449.8,69,1,27,18,88,0
533917,299.9,19,141,13,7,26,15
533918,96.2,10,2,10,14,19,0
533923,282.3,22,93,12,6,45,11
533919,837,69,42,64,85,128,22
533896,456.7,49,2,12,25,47,9
533903,494.1,66,15,44,43,126,2
533907,648.1,33,119,12,11,41,37
533882,185.8,23,7,7,5,45,3
533865,354.5,29,64,5,18,58,13
533867,862.6,63,363,23,18,116,39
533869,578.6,17,151,30,34,20,34
533868,345.1,26,13,25,58,23,4
533821,429.4,35,125,11,14,54,17
533781,341.8,27,14,24,74,33,2
533718,288.1,8,145,14,6,4,19
533699,282.4,32,4,36,34,46,1
533649,356.3,47,26,14,26,63,3
533626,484.6,37,13,46,18,74,19
533590,26604.4,1321,13573,595,446,2319,1554
533583,394.5,24,9,50,51,19,12
533571,256,34,5,24,22,54,0
533575,1012.5,90,77,42,96,61,24
533528,1309.9,129,37,71,82,120,32
533538,227.1,8,2,18,12,2,12
533434,982.2,106,22,117,127,118,7
533435,2477.4,365,11,52,118,637,10
533432,1179.4,67,68,142,165,71,37
533358,275.4,15,11,12,26,7,10
533281,225.8,27,42,6,12,31,4
533272,125.9,9,0,10,6,7,5
533250,197.5,29,7,8,7,54,1
533244,198.4,14,0,12,7,27,8
533192,112.5,10,2,4,16,12,1
533190,398.7,31,8,34,46,55,10
533188,311.2,36,32,3,22,16,5
533191,173.4,10,44,6,8,21,7
533171,145.8,13,1,6,16,22,2
533168,27.9,0,5,0,1,0,2
533161,177.9,6,100,0,6,3,11
533154,415.9,45,52,6,12,122,13
533150,161.8,11,8,10,31,11,2
533134,1268.5,119,27,17,71,159,35
533151,175.8,15,12,6,15,31,4
533127,936.6,61,272,7,31,153,44
533130,155.1,0,1,12,0,0,0
533124,240.1,9,157,3,14,17,14
533125,41.6,0,40,1,0,0,3
533120,633.2,21,14,38,58,17,33
533118,114.7,0,1,0,0,0,0
533072,637.7,52,29,93,117,26,9
533052,431.9,34,25,62,43,27,12
533033,446.6,25,23,30,26,10,21
533035,39.4,0,37,0,0,0,3
533008,264.9,41,0,0,1,18,2
532997,246.8,27,18,55,23,53,4
532962,229,15,137,13,3,39,13
532963,390.9,29,132,20,17,55,16
532968,447.6,37,117,13,11,73,18
532977,419.9,26,106,5,11,12,20
532924,342.9,25,119,4,22,10,13
532921,126.6,7,6,5,8,4,5
532920,293.6,22,39,2,49,29,5
532829,196.6,14,1,10,6,6,8
532797,229.9,20,3,9,15,30,6
532787,598,65,127,8,7,129,17
532742,1142.5,77,46,88,99,47,40
532739,239.1,29,37,25,7,14,5
532740,415.6,27,222,4,22,30,19
532730,272.7,14,4,16,10,6,14
532738,133.3,5,10,146,11,3,9
532734,214.4,0,3,0,0,0,0
532736,139,11,56,2,5,22,5
532714,323.8,36,2,8,7,73,8
532655,167.7,15,26,0,3,32,5
532649,2477.3,278,228,176,235,486,35
532656,62.9,5,0,3,2,11,1
532651,111.8,5,15,8,15,8,4
532629,367.6,40,5,7,53,66,2
532640,664.1,45,94,52,142,52,8
532637,684.3,76,60,44,75,48,7
532486,119.9,0,19,0,7,0,9
532487,446.2,23,38,1,24,10,22
532490,2686.1,454,12,2,13,934,5
532472,916.8,82,57,29,48,49,31
532442,269.5,19,2,8,15,17,10
532429,120.4,10,13,0,2,4,5
532427,380.6,27,41,60,36,16,23
532422,569.5,39,15,17,47,50,19
532420,326.1,19,94,3,18,34,15
532402,77.2,1,34,4,7,0,5
532391,394.4,42,0,13,68,45,0
532338,494.4,54,1,6,81,49,0
532289,224.2,21,1,2,36,19,2
532307,621.9,48,16,20,66,89,17
532257,7.4,0,0,0,0,0,0
532179,562.2,65,102,1,9,83,15
532125,373.7,16,11,6,14,7,21
532075,670.5,81,39,9,11,65,15
532080,920.1,100,36,56,78,109,14
532078,769.6,68,56,8,60,60,17
532077,328.6,35,36,14,35,27,4
532081,119.4,1,49,6,8,0,8
532088,276.1,4,37,16,20,4,17
532076,10952.1,1030,388,791,1495,1146,154
532074,1685.7,224,59,482,102,250,13
532044,1080.6,100,16,127,103,202,23
532026,2172,243,21,129,324,311,6
531758,71.4,3,24,1,7,6,3
531712,623.3,53,40,72,70,81,14
531683,220,5,65,5,11,9,13
531631,369.9,20,20,21,53,17,11
531628,293.5,13,95,15,16,23,14
531608,290.5,28,1,3,55,22,0
531577,217.1,10,32,12,15,11,11
531537,317.4,24,52,36,36,28,7
531520,37.6,4,0,4,4,8,0
531516,1527.3,99,680,39,23,198,76
531513,7089.4,375,429,742,2090,219,38
531469,1377.2,162,2,51,195,179,0
531470,106,14,2,3,1,30,1
531471,206.6,21,3,12,37,38,0
531446,599.7,28,27,17,66,32,26
531438,190.9,4,6,25,8,9,12
531410,168,15,17,14,24,9,2
531398,71.5,7,0,5,12,7,0
531396,412.7,39,10,28,45,71,7
531381,370.2,14,189,24,7,7,22
531333,220.4,19,37,3,7,29,8
531334,213.3,13,129,3,3,25,11
531330,653,35,144,23,17,52,35
531316,1167.5,106,267,0,17,86,43
531307,658.7,62,0,113,142,111,1
531270,302.9,22,116,16,9,10,12
531255,683.2,54,13,26,62,101,19
531253,432.2,48,17,5,39,39,6
531254,88.6,6,25,1,4,3,4
531223,537.5,33,73,51,32,16,23
531235,267.6,37,7,5,11,51,3
531179,390.6,23,173,14,9,45,20
531161,504.8,61,0,5,66,69,0
531158,511.9,38,80,54,87,34,9
531159,1062.4,118,122,27,102,122,13
531176,859.9,66,27,30,86,76,26
531172,549.3,74,93,2,12,146,9
531171,288.8,32,11,13,25,42,4
531160,1258.2,59,3,291,62,36,64
531164,601.2,34,8,35,61,59,22
531178,278.1,23,42,9,5,18,11
531182,591.5,41,10,33,71,62,16
531169,552.8,43,32,16,75,43,13
531144,410.4,28,126,67,26,13,19
531147,269.8,33,1,10,26,53,1
531150,725.4,58,19,13,104,28,14
531142,548.9,54,5,4,42,144,13
531148,414.7,28,24,27,45,27,15
531146,306.8,28,9,2,29,22,7
531153,592.4,58,38,13,16,69,20
531145,370.2,4,11,42,21,3,25
531154,802,62,1,7,111,57,16
531143,508.4,29,31,94,49,14,20
531119,218.8,11,0,14,9,14,10
531109,381.3,11,133,10,16,13,24
531108,1461.2,2,800,43,38,1,115
531001,156,2,9,43,13,0,10
531003,147.8,8,16,30,9,3,8
530973,161.4,17,17,73,3,7,3
530916,602.4,47,16,8,28,23,23
530924,395.1,38,44,21,28,59,10
530888,2990.7,499,12,154,17,274,9
530879,180.1,0,2,0,0,0,0
530867,683.7,45,111,14,55,70,25
530752,65.5,0,3,0,0,0,0
530729,168.9,17,13,39,9,10,4
530713,153.8,10,55,4,3,20,7
530722,230.5,3,57,32,12,2,16
530677,143,14,1,6,25,15,0
530700,130.1,18,18,1,2,37,1
530683,454.1,60,11,26,11,49,8
530689,345.8,27,19,45,56,19,6
530650,521.8,32,6,31,89,49,12
530640,16894.9,1104,8360,425,298,777,832
530639,334.7,41,56,7,12,61,9
530645,129.4,5,0,11,9,7,6
530632,1,0,0,0,0,0,0
530626,699.3,52,14,63,78,46,18
530611,13.3,0,2,5,2,0,0
530601,2572.8,245,134,339,266,419,52
530551,148.7,20,7,10,6,20,1
530536,289.2,29,14,40,25,41,5
530533,292.9,14,34,9,18,25,14
530500,245.6,41,0,6,0,18,0
530479,212.9,27,4,9,17,28,1
530478,41.9,1,0,6,6,0,1
530480,174.6,8,116,1,2,12,11
530466,239.6,17,18,48,40,13,5
530409,449.5,15,16,62,31,7,27
530394,609.9,50,24,73,43,44,19
530386,755.9,69,12,37,52,111,20
530370,209.6,17,76,8,4,14,8
530367,5828.6,805,82,183,389,318,56
530364,737.5,64,35,65,86,105,15
530335,183.3,21,49,1,3,32,4
530365,291.9,15,15,23,38,23,10
530326,447.6,30,226,7,5,61,22
530327,5427.6,182,2231,196,206,333,289
530303,148.1,2,89,0,6,0,11
530314,213.1,24,2,20,16,38,2
530316,499.8,61,6,16,44,38,5
530291,2548.7,212,164,305,194,271,75
530300,257.7,10,89,8,8,19,15
530305,114.7,2,11,8,11,3,6
530292,3259.6,211,47,165,332,313,111
530284,216.7,12,91,5,16,26,9
530282,660,49,31,41,71,77,19
530287,51.9,2,20,2,1,4,2
530286,355.8,10,156,12,14,18,22
530270,177.4,0,7,24,9,0,13
530275,53.7,8,0,3,2,17,0
530285,178.8,1,101,0,5,0,14
530266,618,22,308,16,13,45,38
530231,769.7,45,10,18,208,65,7
530225,228.1,15,123,3,3,27,11
530223,482.8,24,217,14,29,32,24
530224,156.3,17,8,8,19,27,1
530208,83.7,4,0,1,2,2,4
530211,124.8,0,4,0,0,0,2
530190,282.9,1,168,48,21,0,21
530160,164,0,6,0,8,0,12
530170,13.4,0,12,0,0,0,1
530157,264.4,11,73,58,34,12,11
530158,242,4,8,29,38,3,11
530140,536.7,49,142,9,36,94,15
530128,436.4,21,13,81,67,18,15
530095,443.9,27,112,30,25,32,20
530091,138.1,15,22,0,5,31,4
530037,690.9,73,13,9,109,67,2
530024,1250.3,90,47,73,62,43,50
530004,554.1,34,45,42,88,45,14
530002,204.6,7,78,3,7,13,12
529948,414.2,32,145,7,17,20,18
529975,103.7,15,0,6,5,19,0
529923,115.5,1,86,0,1,0,9
529875,240.3,18,15,28,43,27,4
529848,161.8,13,15,40,15,20,5
529852,931.3,4,906,3,3,3,77
529787,86.2,9,1,27,13,8,0
529766,2364.3,183,339,74,88,357,92
529790,212.2,23,33,26,9,12,6
529772,279.3,22,0,18,70,11,0
529739,727.8,31,4,51,130,27,23
529728,424,39,34,32,49,62,8
529720,151.8,2,40,14,14,1,10
529730,201.7,18,61,9,9,8,7
529732,365.7,46,17,12,15,91,6
529736,594,53,119,16,12,60,23
529705,694,1,503,138,10,0,51
529735,512.9,46,155,13,8,72,19
529697,618.8,37,161,25,21,70,30
529666,1174.1,48,34,124,143,66,49
529644,96.3,9,11,2,1,19,3
529600,94.8,7,33,3,1,15,4
529577,132.5,5,30,6,5,6,7
529563,1314.9,168,6,80,116,274,3
529564,908.9,120,23,62,68,144,6
529558,419.9,16,158,22,7,31,20
529568,358.1,22,19,36,31,43,13
529506,329.1,38,71,8,7,63,8
529468,728.2,74,52,43,92,123,8
529466,158,9,66,4,4,16,8
529444,32.6,0,29,3,0,0,2
529415,100.7,1,48,49,7,0,6
529395,661.9,55,160,8,40,53,25
529383,289.6,9,159,4,5,18,19
529381,452.7,47,14,24,73,72,2
529324,269.2,24,0,38,55,12,0
529309,512.7,72,4,21,41,107,0
529313,296.2,25,87,2,7,26,11
529310,583.2,21,163,25,17,35,33
529308,9282.1,136,340,715,746,142,583
529300,24.7,3,0,5,2,3,0
529286,291.2,17,12,45,61,15,5
529217,465.3,40,5,5,100,28,1
529216,1569.5,149,21,93,107,148,38
529200,123.1,13,7,18,11,20,2
529146,395.9,25,176,14,9,29,19
529096,346.4,13,90,10,32,13,17
529095,366,26,29,9,21,20,14
529130,571.6,48,0,5,134,66,0
529119,597.6,56,172,15,13,35,21
529128,133.5,10,55,0,4,4,5
529063,114.2,9,2,2,25,11,0
529041,474.8,50,6,13,28,56,10
529033,450.7,44,29,52,17,49,13
528956,126.3,9,70,1,2,13,6
528875,173.8,6,9,66,9,3,9
528861,552.6,54,12,24,40,91,13
528843,205.3,18,18,15,16,23,5
528768,244.6,4,22,76,37,2,13
528742,1388.3,160,311,46,21,218,36
528696,1254.6,86,20,112,117,121,43
528652,579.5,53,255,2,11,104,23
528654,0.4,0,0,0,0,0,0
528649,927.5,80,317,31,15,69,36
528613,239.4,17,83,7,6,17,10
528585,434.6,44,86,13,23,75,10
528565,332.8,9,182,12,10,21,22
528550,375.9,38,6,13,10,16,11
528546,277.3,5,51,4,16,2,18
528506,2573.5,354,37,441,47,175,40
528477,831.8,76,61,35,36,86,28
528439,48.8,0,50,0,0,0,4
528393,245.7,0,244,0,1,0,21
528367,451.7,74,2,24,8,39,0
528358,509.7,25,61,23,22,13,27
528364,342.5,20,77,4,24,13,15
528318,33.7,0,18,11,3,0,2
528319,347.4,21,0,16,9,9,16
528276,591.1,45,152,25,12,24,24
528225,296.4,16,112,7,9,17,15
528172,863.7,54,22,41,122,94,23
528122,655.2,59,22,22,40,60,19
528131,594.5,47,206,16,10,94,26
528125,2266.7,10,1606,11,64,3,191
528120,398.5,26,18,38,48,34,12
528102,292.6,12,38,27,14,22,15
528101,610,54,116,13,38,108,19
528081,389.4,21,11,37,45,20,14
528086,38.2,3,2,6,5,5,0
528068,552,27,214,19,15,40,32
528069,1116.1,24,29,58,186,30,48
528058,485.9,38,103,9,9,76,21
528059,315.2,16,17,29,27,12,13
528044,626.2,37,6,56,86,31,19
528002,444.5,42,64,8,41,22,11
527902,564.1,67,8,40,66,104,3
527895,4039.3,269,984,58,94,531,191
527835,172.1,0,18,16,9,0,12
527864,93.5,2,32,11,5,2,6
527834,234.6,11,77,9,9,18,12
527825,508.2,56,145,4,13,110,13
527823,148.4,17,29,1,2,26,3
527822,114.7,6,47,9,8,10,5
527802,145.7,21,4,14,4,43,1
527731,324.8,5,20,2,41,4,17
527696,195,0,60,0,0,0,6
527710,186.5,15,13,19,35,26,1
527691,472.9,17,5,113,136,9,6
527694,387.4,0,91,0,1,0,10
527693,321.6,45,5,0,8,21,5
527687,124.4,0,119,0,2,0,10
527646,329.8,6,170,5,18,6,23
527654,512.5,56,3,31,84,92,1
527658,163.8,0,126,97,4,0,13
527645,218.4,1,107,0,4,1,19
527651,392.1,58,54,29,1,24,4
527634,38.6,1,10,1,2,1,2
527559,321.7,25,80,1,4,51,8
527557,498.5,38,8,4,85,48,1
527547,924,77,25,71,79,124,25
527535,296.9,35,5,16,29,66,1
527540,236,15,96,7,26,31,7
527549,561.3,47,9,21,26,26,19
527548,133.9,10,10,1,10,4,4
527534,106.8,1,76,0,3,3,8
527541,3082.3,130,540,1807,239,127,150
527485,868.2,109,66,36,12,221,18
527483,467.7,42,18,63,88,38,2
527492,981,99,11,55,149,101,3
527487,257,0,88,0,1,0,8
527476,1372.5,83,77,212,134,96,48
527481,172.5,14,41,23,12,5,6
527471,141.8,0,0,0,0,0,0
527467,219.7,6,22,60,50,5,3
527456,753.2,40,428,15,50,82,35
527454,233.3,33,1,7,9,13,1
527455,1628.5,257,0,52,40,110,5
527457,561.7,50,198,7,15,97,20
527468,268,7,106,5,55,8,9
527462,84.4,13,3,0,0,16,0
527442,107.5,2,40,8,8,3,6
527452,68.3,8,11,0,3,5,1
527429,569.2,65,24,52,47,78,8
527422,764.9,14,8,21,67,7,46
527417,912,59,47,99,72,60,34
527396,177.2,17,6,2,28,22,1
527388,181.4,21,10,12,5,39,4
527378,3064.9,259,876,103,110,286,117
527368,1016.7,90,325,30,21,134,38
527369,100.8,7,18,11,4,14,4
527347,125.2,12,4,8,17,16,1
527351,757.3,60,314,24,12,108,32
527352,194.4,21,41,1,8,21,5
527343,267.6,11,15,26,22,5,13
527325,379,36,22,34,37,51,7
527299,237.1,0,42,0,1,0,7
527274,274.9,1,206,0,6,0,22
527221,1574.5,153,211,171,215,178,22
527206,532.6,42,136,3,13,12,22
527202,401.4,40,99,19,17,34,11
527176,364.2,42,100,10,9,79,8
527141,178.1,11,39,16,31,15,3
527072,238.6,26,45,6,10,47,5
527053,382,38,90,12,7,67,12
527037,253.7,19,64,7,6,31,10
526996,265.6,26,0,15,42,24,0
527005,321.3,24,78,12,12,40,13
526984,321.2,20,8,32,15,7,13
527002,480.5,14,184,154,103,11,16
526913,565.5,57,33,46,27,40,16
526905,391.6,19,27,46,48,15,15
526764,4191.5,275,1656,85,144,386,201
526802,144.4,15,0,14,14,24,2
526749,257.9,6,27,36,46,3,11
526762,599.8,14,15,24,115,13,22
526717,69.2,0,50,13,0,0,5
526696,364.2,50,5,16,15,100,4
526660,564.4,37,5,58,58,35,17
526583,288.1,27,63,12,7,21,9
526554,340.9,17,1,11,106,14,0
526526,1539.7,173,36,99,55,342,35
526520,730,68,285,3,12,137,27
526499,589.8,68,43,16,56,77,6
526408,617.3,70,1,51,95,64,0
526362,484.1,62,101,10,14,123,11
526351,461.5,40,19,19,65,42,4
526265,29.3,0,12,1,1,0,2
526250,177.2,2,1,0,7,1,11
526222,487.2,77,1,8,1,91,1
526194,180.8,8,38,38,20,14,8
526211,207,14,99,48,3,6,10
526150,123.9,12,22,85,5,5,3
526118,121.5,10,12,11,15,4,3
526089,563.6,30,50,58,52,55,22
526065,105.7,6,38,3,2,12,5
526059,482.7,27,52,52,25,51,21
526051,524.1,59,12,34,67,117,3
525973,111.7,1,19,3,7,0,7
526015,95.9,5,11,14,5,2,4
526013,105,3,50,6,2,1,6
525932,586.2,17,46,84,152,12,14
525922,711.6,73,94,10,18,87,21
525929,248.3,21,73,1,7,42,9
525834,129.8,6,48,3,7,6,7
525818,98.4,8,37,2,5,5,3
525769,279.9,25,55,6,19,17,9
525783,510.4,69,102,2,3,56,9
525787,417.2,25,17,27,24,10,19
525788,534,35,8,24,21,15,24
525767,275.2,21,77,3,14,26,10
525759,272.4,9,167,7,2,4,17
525743,311.4,0,9,0,0,0,2
525748,324.6,25,130,4,10,46,14
525729,380.7,21,152,6,5,9,20
525709,313.2,24,43,40,24,34,9
525697,302.6,30,14,38,46,35,2
525677,742.5,28,25,46,57,23,38
525649,69.5,2,28,26,3,1,4
525633,138.5,12,18,14,15,6,3
525547,623.4,73,9,59,64,100,5
525539,325.4,12,96,5,72,7,9
525493,379.9,16,55,21,64,8,14
525403,900.1,106,22,36,52,186,15
525190,170.3,18,39,3,5,22,5
525169,80.7,4,2,39,5,1,4
525187,2309.5,245,655,109,39,442,71
525071,253.1,14,15,20,40,10,6
525061,68.9,5,30,1,1,15,2
525042,413.7,47,9,50,34,57,5
524983,336,26,3,24,39,26,8
524973,604.9,40,22,36,31,57,26
525001,813.9,56,39,76,81,70,26
525006,205.2,12,3,14,18,22,8
524984,856,50,18,48,76,59,32
524989,444.5,31,19,31,39,36,15
524971,1193.9,116,19,246,108,130,23
524988,774.2,94,18,113,91,131,3
524992,732.8,55,19,96,53,48,25
524982,421.4,34,11,29,38,37,11
524990,746.3,63,15,46,60,32,21
524993,79,5,32,24,3,2,3
525003,268.2,17,3,34,16,14,11
524958,1281.7,197,7,22,34,129,6
524947,230.6,14,1,36,33,21,6
524960,1188.5,65,13,83,92,87,52
524927,374.4,38,3,43,44,44,1
524968,726.1,52,11,123,74,62,22
524863,337.6,27,7,28,32,30,9
524933,432.6,39,12,16,25,50,12
524955,383.5,34,11,55,35,37,9
524868,272.2,27,8,30,41,55,2
524929,74.4,6,24,2,7,11,1
524934,595.1,46,10,46,54,62,17
524970,653.2,54,13,67,71,57,15
524962,573.6,26,43,31,40,29,28
524967,618.5,47,19,67,72,54,16
524873,516.7,45,1,115,26,30,17
524946,379.3,21,197,9,21,26,19
524936,173.8,20,5,22,19,25,1
524867,999.5,98,47,82,67,69,28
524840,318.8,26,25,15,13,17,11
524809,389.9,18,14,51,44,15,16
524815,618.9,68,9,71,64,97,7
524817,329.5,29,2,16,16,17,10
524811,933.7,125,5,84,75,155,1
524790,45.2,1,26,8,0,4,2
524791,178.5,14,14,3,4,28,6
524789,429.7,46,6,46,72,63,0
524744,916.6,100,235,33,13,170,26
524736,392,33,20,30,43,21,10
524731,370.8,24,20,22,14,41,16
524716,1573.9,220,21,67,62,147,15
524715,346.4,32,5,45,61,52,2
524681,590.9,55,7,41,56,86,12
524675,488.2,49,6,54,46,79,9
