TagID,TagName,Category
294,lactose,diet
295,long-grain-rice,ingredient
296,dutch,cuisine
297,chick-peas-garbanzos,ingredient
298,shakes,course
299,mixer,prep_method
300,swedish,cuisine
301,potluck,feature
302,nut-free,diet
303,ragu-recipe-contest,feature
304,new-years,specific_date
305,crab,ingredient
306,collard-greens,ingredient
307,pork-chops,ingredient
308,pork-loins,ingredient
309,grapes,ingredient
310,lemon,ingredient
311,lettuces,ingredient
312,microwave,prep_method
313,wedding,occasion
314,coconut,ingredient
315,jewish-ashkenazi,cuisine
316,kid-friendly,feature
317,short-grain-rice,ingredient
318,scallops,ingredient
319,swiss,cuisine
320,white-rice,ingredient
321,fathers-day,specific_date
322,bar-cookies,course
323,iranian-persian,cuisine
324,black-beans,ingredient
325,pakistani,cuisine
326,soy-tofu,ingredient
327,omelets-and-frittatas,course
328,venezuelan,cuisine
329,baja,cuisine
330,camping,occasion
331,chicken-livers,ingredient
332,carrots,ingredient
333,brown-bag,feature
334,cantonese,cuisine
335,clear-soups,course
336,veal,ingredient
337,cuban,cuisine
338,broil,prep_method
339,jams-and-preserves,condiment
340,hand-formed-cookies,course
341,stocks,condiment
342,scones,course
343,finger-food,course
344,flat-shapes,course
345,savory,flavor_mood
346,rosh-hashanah,specific_date
347,bread-machine,prep_method
348,a1-sauce,condiment
349,wings,ingredient
350,canning,prep_method
351,water-bath,prep_method
352,pot-pie,course
353,brazilian,cuisine
354,chilean,cuisine
355,quebec,cuisine
356,cherries,ingredient
357,jellies,condiment
358,russian,cuisine
359,granola-and-porridge,course
360,polish,cuisine
361,raspberries,ingredient
362,labor-day,specific_date
363,scottish,cuisine
364,food-processor-blender,prep_method
365,freezer,prep_method
366,roast-beef,ingredient
367,lime,ingredient
368,served-cold,prep_method
369,ham,ingredient
370,crawfish,ingredient
371,hunan,cuisine
372,mothers-day,specific_date
373,simply-potatoes,ingredient
374,colombian,cuisine
375,honduran,cuisine
376,cinco-de-mayo,specific_date
377,irish-st-patricks-day,specific_date
378,szechuan,cuisine
379,asparagus,ingredient
380,toddler-friendly,feature
381,duck,ingredient
382,oranges,ingredient
383,veggie-burgers,course
384,oaxacan,cuisine
385,bok-choys,ingredient
386,ecuadorean,cuisine
387,halibut,ingredient
388,turkey-burgers,course
389,saudi-arabian,cuisine
390,belgian,cuisine
391,ravioli-tortellini,ingredient
392,chinese-new-year,specific_date
393,sole-and-flounder,ingredient
394,czech,cuisine
395,penne,ingredient
396,tilapia,ingredient
397,unprocessed-freezer,prep_method
398,smoker,prep_method
399,polynesian,cuisine
400,pears,ingredient
401,gelatin,ingredient
402,chutneys,condiment
403,indonesian,cuisine
404,prepared-potatoes,ingredient
405,cod,ingredient
406,whole-duck,ingredient
407,memorial-day,specific_date
408,sourdough,ingredient
409,bear,ingredient
410,oysters,ingredient
411,garnishes,condiment
412,hanukkah,specific_date
413,medium-grain-rice,ingredient
414,turkey-breasts,ingredient
415,native-american,cuisine
416,infant-baby-friendly,feature
417,icelandic,cuisine
418,halloween-cocktails,course
419,chard,ingredient
420,superbowl,specific_date
421,whole-turkey,ingredient
422,danish,cuisine
423,dehydrator,prep_method
425,cambodian,cuisine
426,laotian,cuisine
427,lobster,ingredient
428,egyptian,cuisine
429,papaya,ingredient
430,catfish,ingredient
431,whitefish,ingredient
432,finnish,cuisine
433,mussels,ingredient
434,pressure-canning,prep_method
435,melons,ingredient
436,palestinian,cuisine
437,plums,ingredient
438,bass,ingredient
439,mardi-gras-carnival,specific_date
440,reynolds-wrap,prep_method
441,kiwifruit,ingredient
442,georgian,cuisine
443,angolan,cuisine
444,rabbit,ingredient
445,ontario,cuisine
446,Throw the ultimate fiesta with this sopaipillas recipe from Food.com.,feature
447,ramadan,specific_date
448,hidden-valley-ranch,condiment
449,malaysian,cuisine
450,no-shell-fish,diet
451,nigerian,cuisine
452,duck-breasts,ingredient
453,mahi-mahi,ingredient
454,manicotti,ingredient
455,mongolian,cuisine
456,amish-mennonite,cuisine
457,beef-liver,ingredient
458,rosh-hashana,specific_date
459,moose,ingredient
460,pheasant,ingredient
461,trout,ingredient
462,pickeral,ingredient
463,april-fools-day,specific_date
464,elk,ingredient
465,halloween-cupcakes,course
466,libyan,cuisine
467,sugar-cookies,course
468,sudanese,cuisine
469,new-zealand,cuisine
470,somalian,cuisine
471,nepalese,cuisine
472,high-in-something-diabetic-friendly,diet
473,brewing,prep_method
474,tempeh,ingredient
475,guatemalan,cuisine
476,simply-potatoes2,ingredient
477,costa-rican,cuisine
